,precision,recall,f1-score,support
angry,0.4928335170893054,0.46659707724425886,0.47935656836461127,958.0
disgust,0.475177304964539,0.6036036036036037,0.5317460317460317,111.0
fear,0.486088379705401,0.2900390625,0.363302752293578,1024.0
happy,0.7859139183901621,0.7925591882750845,0.7892225652539995,1774.0
neutral,0.49123904881101377,0.6366585563665855,0.5545743553514659,1233.0
sad,0.47753743760399336,0.4603047313552526,0.46876276031033076,1247.0
surprise,0.6795698924731183,0.7605294825511432,0.7177739920499716,831.0
accuracy,0.5862357202563389,0.5862357202563389,0.5862357202563389,0.5862357202563389
macro avg,0.5554799284339332,0.5728988145565612,0.5578198607671413,7178.0
weighted avg,0.5827186534949035,0.5862357202563389,0.5788740290854267,7178.0
