,precision,recall,f1-score,support
angry,0.4811594202898551,0.5198329853862212,0.4997491219267436,958.0
disgust,0.7142857142857143,0.5405405405405406,0.6153846153846154,111.0
fear,0.456359102244389,0.357421875,0.4008762322015334,1024.0
happy,0.7846693973083675,0.7559188275084555,0.7700258397932817,1774.0
neutral,0.5271614384085692,0.5587996755879967,0.5425196850393701,1233.0
sad,0.4477498093058734,0.4707297514033681,0.4589523064894449,1247.0
surprise,0.6870967741935484,0.7689530685920578,0.7257240204429302,831.0
accuracy,0.5823349122318194,0.5823349122318194,0.5823349122318194,0.5823349122318194
macro avg,0.5854973794337596,0.5674566748598057,0.5733188316111314,7178.0
weighted avg,0.5821765332354029,0.5823349122318194,0.580650238438997,7178.0
