,precision,recall,f1-score,support
angry,0.5943775100401606,0.3089770354906054,0.4065934065934066,958.0
disgust,0.8269230769230769,0.38738738738738737,0.5276073619631901,111.0
fear,0.46735395189003437,0.265625,0.33872976338729766,1024.0
happy,0.8061288305190745,0.7266065388951521,0.7643047731989328,1774.0
neutral,0.4853168469860896,0.5093268450932684,0.4970320538187574,1233.0
sad,0.3460788138899727,0.7113071371291099,0.46561679790026245,1247.0
surprise,0.811864406779661,0.5764139590854392,0.6741731175228712,831.0
accuracy,0.5424909445528002,0.5424909445528002,0.5424909445528002,0.5424909445528002
macro avg,0.6197204910040099,0.49794912901156607,0.5248653249121026,7178.0
weighted avg,0.5954946201618433,0.5424909445528002,0.5439564469294453,7178.0
