,precision,recall,f1-score,support
angry,0.5423913043478261,0.5208768267223383,0.531416400425985,958.0
disgust,0.4371584699453552,0.7207207207207207,0.54421768707483,111.0
fear,0.4738562091503268,0.283203125,0.3545232273838631,1024.0
happy,0.8406976744186047,0.8151071025930101,0.8277046365197481,1774.0
neutral,0.5796747967479675,0.578264395782644,0.5789687373122209,1233.0
sad,0.4474342928660826,0.5733761026463512,0.5026362038664324,1247.0
surprise,0.7289617486338797,0.802647412755716,0.7640320733104238,831.0
accuracy,0.6143772638617999,0.6143772638617999,0.6143772638617999,0.6143772638617999
macro avg,0.5785963565871489,0.6134565266029686,0.5862141379847863,7178.0
weighted avg,0.6162188204272352,0.6143772638617999,0.6097034462453164,7178.0
