experiment_name,model_name,base_model,pretrained_weights,input_size,test_accuracy,macro_f1,weighted_f1,test_auc,num_params,model_size_mb,train_time_seconds,inference_time_ms_per_image,experiment_dir
20260628_120337_cnn_v1,cnn_v1,Custom CNN,none,48x48x1,0.5705,0.5245819718321878,0.5601477946971524,0.8918,305639,1.4032001495361328,1468.5,,experiments/2026-06-28/20260628_120337_cnn_v1
20260628_124858_mobilenetv2_transfer,mobilenetv2_transfer,MobileNetV2,imagenet,96x96x3,0.515324592590332,0.4615477600164059,0.5025563957876698,0.8579760789871216,2266951,20.81545829772949,2945.7980001000005,1.525576567289026,experiments/2026-06-28/20260628_124858_mobilenetv2_transfer
20260628_181653_mobilenetv2_transfer,mobilenetv2_transfer,MobileNetV2,imagenet,96x96x3,0.5352466106414795,0.4855781493764514,0.5225789087129731,0.8690404891967773,2266951,20.81340885162353,2697.2949984000006,1.3990705767627052,experiments/2026-06-28/20260628_181653_mobilenetv2_transfer
20260629_185100_cnn_complex_v1,cnn_complex_v1,Custom CNN complex,none,48x48x1,0.6703817248344421,0.656696813812472,0.6681083959794825,0.9311732053756714,5118439,58.72601318359375,17963.9733055,2.2801265672890136,experiments/2026-06-29/20260629_185100_cnn_complex_v1
20260630_110102_ResNet50_transfer,ResNet50_transfer,ResNet50,imagenet,96x96x3,0.5862357020378113,0.5578198607671413,0.5788740290854267,0.8955212831497192,23602055,200.87067699432373,7508.4669948,5.0682702145444605,
20260630_135725_ResNet50_transfer,ResNet50_transfer,ResNet50,imagenet,226x226x3,0.6192532777786255,0.591842497186086,0.6137641759855647,0.9093653559684752,23602055,200.8709478378296,30526.508028799995,25.232463290609918,
20260705_190109_mobilenetv2_transfer,mobilenetv2_transfer,MobileNetV2,imagenet,96x96x3,0.5823349356651306,0.5733188316111314,0.580650238438997,0.8907439112663269,2266951,20.813419342041016,2314.8690883,1.4623190025078168,experiments/2026-07-05/20260705_190109_mobilenetv2_transfer
20260705_194905_cnn_complex_v1,cnn_complex_v1,Custom CNN complex,none,48x48x1,0.6167455911636353,0.5847826914860557,0.6134934262881502,0.908616542816162,5118439,58.72325134277344,720.8954484509995,1.731259581220445,experiments/2026-07-05/20260705_194905_cnn_complex_v1
20260705_201240_ResNet50_transfer,ResNet50_transfer,ResNet50,imagenet,224x224x3,0.607550859451294,0.5975495941873203,0.6069645033060721,0.901689350605011,23602055,200.87303638458252,28587.798915199994,24.290856798548578,experiments/2026-07-05/20260705_201240_ResNet50_transfer
20260705_201724_cnn_complex_v1,cnn_complex_v1,Custom CNN complex,none,48x48x1,0.6082473993301392,0.5887318983408429,0.6039804385727787,0.909052550792694,5118439,58.72329711914063,927.0877816849998,2.219431261911428,experiments/2026-07-05/20260705_201724_cnn_complex_v1
20260706_063423_ResNet50_transfer,ResNet50_transfer,ResNet50,imagenet,224x224x3,0.5982167720794678,0.5772977167933402,0.5929684138407796,0.8986615538597107,23602055,200.86787128448486,3545.625953603,4.177497908470363,experiments/2026-07-06/20260706_063423_ResNet50_transfer
20260706_172701_cnn_v2,cnn_v2,Custom CNN,none,48x48x1,0.5414,0.50,0.53,0.8745,,10.921563148498535,,,experiments/2026-07-06/20260706_172701_cnn_v2
20260706_174342_cnn_v3,cnn_v3,Custom CNN,none,48x48x1,0.1335,0.03,0.03,0.5590,,4.981035232543945,,,experiments/2026-07-06/20260706_174342_cnn_v3
20260706_175311_cnn_v4,cnn_v4,Custom CNN,none,48x48x1,0.5270,0.47,0.51,0.8676,,7.2465715408325195,,,experiments/2026-07-06/20260706_175311_cnn_v4
