,precision,recall,f1-score,support
angry,0.45098039215686275,0.5281837160751566,0.48653846153846153,958.0
disgust,0.3050847457627119,0.6486486486486487,0.414985590778098,111.0
fear,0.4276629570747218,0.2626953125,0.3254688445251059,1024.0
happy,0.8432563791008505,0.7824126268320181,0.8116959064327486,1774.0
neutral,0.48502994011976047,0.656934306569343,0.5580434033758181,1233.0
sad,0.47080745341614905,0.30392943063352046,0.36939571150097467,1247.0
surprise,0.6271028037383177,0.8074608904933814,0.7059442398737507,831.0
accuracy,0.5704931735859571,0.5704931735859571,0.5704931735859571,0.5704931735859571
macro avg,0.5157035244813392,0.5700378473931526,0.5245817368607082,7178.0
weighted avg,0.572029610966774,0.5704931735859571,0.560147605666593,7178.0
