,precision,recall,f1-score,support
angry,0.43612903225806454,0.35281837160751567,0.39007501442585113,958.0
disgust,0.2318181818181818,0.4594594594594595,0.3081570996978852,111.0
fear,0.4453125,0.1669921875,0.24289772727272727,1024.0
happy,0.6707982151710461,0.7626832018038332,0.713795832234239,1774.0
neutral,0.5023832221163013,0.42741281427412814,0.4618755477651183,1233.0
sad,0.3728205128205128,0.5829991980753809,0.4548013762902721,1247.0
surprise,0.6794380587484036,0.6401925391095066,0.6592317224287485,831.0
accuracy,0.5153246029534689,0.5153246029534689,0.5153246029534689,0.5153246029534689
macro avg,0.4769571032760728,0.48465111026140345,0.4615477600164059,7178.0
weighted avg,0.5208272755607386,0.5153246029534689,0.5025563957876698,7178.0
