,precision,recall,f1-score,support
angry,0.5768143261074458,0.6388308977035491,0.6062407132243685,958.0
disgust,0.6875,0.6936936936936937,0.6905829596412556,111.0
fear,0.5198079231692677,0.4228515625,0.4663435648896069,1024.0
happy,0.9023228111971412,0.8540022547914318,0.8774978279756733,1774.0
neutral,0.5909722222222222,0.6901865369018654,0.636737747848859,1233.0
sad,0.5629432624113475,0.5092221331194867,0.5347368421052632,1247.0
surprise,0.7448648648648649,0.8291215403128761,0.784738041002278,831.0
accuracy,0.6703817219281136,0.6703817219281136,0.6703817219281136,0.6703817219281136
macro avg,0.6550322014246127,0.662558374146129,0.656696813812472,7178.0
weighted avg,0.6703185157048822,0.6703817219281136,0.6681083959794825,7178.0
