,precision,recall,f1-score,support
angry,0.506198347107438,0.511482254697286,0.5088265835929388,958.0
disgust,0.7191011235955056,0.5765765765765766,0.64,111.0
fear,0.49540078843626806,0.3681640625,0.42240896358543417,1024.0
happy,0.8271752085816448,0.7824126268320181,0.8041714947856315,1774.0
neutral,0.5553809897879026,0.5733982157339822,0.5642458100558659,1233.0
sad,0.46158940397350995,0.5589414595028067,0.5056220529561117,1247.0
surprise,0.7096774193548387,0.7677496991576414,0.7375722543352601,831.0
accuracy,0.6075508498188911,0.6075508498188911,0.6075508498188911,0.6075508498188911
macro avg,0.6106461829767297,0.591246413571473,0.5975495941873203,7178.0
weighted avg,0.6115333172580002,0.6075508498188911,0.6069645033060721,7178.0
